Analysis data for 2-way_merge algorithm on reverse_sorted data for n = 2000
# of comparisons: 11088, regression equation:  y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.017001 s
# of exchanges: 11088, regression equation:  y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %
count,presorted values,postsorted values
0,2999,1000
1,2998,1001
2,2997,1002
3,2996,1003
4,2995,1004
5,2994,1005
6,2993,1006
7,2992,1007
8,2991,1008
9,2990,1009
10,2989,1010
11,2988,1011
12,2987,1012
13,2986,1013
14,2985,1014
15,2984,1015
16,2983,1016
17,2982,1017
18,2981,1018
19,2980,1019
20,2979,1020
21,2978,1021
22,2977,1022
23,2976,1023
24,2975,1024
25,2974,1025
26,2973,1026
27,2972,1027
28,2971,1028
29,2970,1029
30,2969,1030
31,2968,1031
32,2967,1032
33,2966,1033
34,2965,1034
35,2964,1035
36,2963,1036
37,2962,1037
38,2961,1038
39,2960,1039
40,2959,1040
41,2958,1041
42,2957,1042
43,2956,1043
44,2955,1044
45,2954,1045
46,2953,1046
47,2952,1047
48,2951,1048
49,2950,1049
50,2949,1050
51,2948,1051
52,2947,1052
53,2946,1053
54,2945,1054
55,2944,1055
56,2943,1056
57,2942,1057
58,2941,1058
59,2940,1059
60,2939,1060
61,2938,1061
62,2937,1062
63,2936,1063
64,2935,1064
65,2934,1065
66,2933,1066
67,2932,1067
68,2931,1068
69,2930,1069
70,2929,1070
71,2928,1071
72,2927,1072
73,2926,1073
74,2925,1074
75,2924,1075
76,2923,1076
77,2922,1077
78,2921,1078
79,2920,1079
80,2919,1080
81,2918,1081
82,2917,1082
83,2916,1083
84,2915,1084
85,2914,1085
86,2913,1086
87,2912,1087
88,2911,1088
89,2910,1089
90,2909,1090
91,2908,1091
92,2907,1092
93,2906,1093
94,2905,1094
95,2904,1095
96,2903,1096
97,2902,1097
98,2901,1098
99,2900,1099
100,2899,1100
101,2898,1101
102,2897,1102
103,2896,1103
104,2895,1104
105,2894,1105
106,2893,1106
107,2892,1107
108,2891,1108
109,2890,1109
110,2889,1110
111,2888,1111
112,2887,1112
113,2886,1113
114,2885,1114
115,2884,1115
116,2883,1116
117,2882,1117
118,2881,1118
119,2880,1119
120,2879,1120
121,2878,1121
122,2877,1122
123,2876,1123
124,2875,1124
125,2874,1125
126,2873,1126
127,2872,1127
128,2871,1128
129,2870,1129
130,2869,1130
131,2868,1131
132,2867,1132
133,2866,1133
134,2865,1134
135,2864,1135
136,2863,1136
137,2862,1137
138,2861,1138
139,2860,1139
140,2859,1140
141,2858,1141
142,2857,1142
143,2856,1143
144,2855,1144
145,2854,1145
146,2853,1146
147,2852,1147
148,2851,1148
149,2850,1149
150,2849,1150
151,2848,1151
152,2847,1152
153,2846,1153
154,2845,1154
155,2844,1155
156,2843,1156
157,2842,1157
158,2841,1158
159,2840,1159
160,2839,1160
161,2838,1161
162,2837,1162
163,2836,1163
164,2835,1164
165,2834,1165
166,2833,1166
167,2832,1167
168,2831,1168
169,2830,1169
170,2829,1170
171,2828,1171
172,2827,1172
173,2826,1173
174,2825,1174
175,2824,1175
176,2823,1176
177,2822,1177
178,2821,1178
179,2820,1179
180,2819,1180
181,2818,1181
182,2817,1182
183,2816,1183
184,2815,1184
185,2814,1185
186,2813,1186
187,2812,1187
188,2811,1188
189,2810,1189
190,2809,1190
191,2808,1191
192,2807,1192
193,2806,1193
194,2805,1194
195,2804,1195
196,2803,1196
197,2802,1197
198,2801,1198
199,2800,1199
200,2799,1200
201,2798,1201
202,2797,1202
203,2796,1203
204,2795,1204
205,2794,1205
206,2793,1206
207,2792,1207
208,2791,1208
209,2790,1209
210,2789,1210
211,2788,1211
212,2787,1212
213,2786,1213
214,2785,1214
215,2784,1215
216,2783,1216
217,2782,1217
218,2781,1218
219,2780,1219
220,2779,1220
221,2778,1221
222,2777,1222
223,2776,1223
224,2775,1224
225,2774,1225
226,2773,1226
227,2772,1227
228,2771,1228
229,2770,1229
230,2769,1230
231,2768,1231
232,2767,1232
233,2766,1233
234,2765,1234
235,2764,1235
236,2763,1236
237,2762,1237
238,2761,1238
239,2760,1239
240,2759,1240
241,2758,1241
242,2757,1242
243,2756,1243
244,2755,1244
245,2754,1245
246,2753,1246
247,2752,1247
248,2751,1248
249,2750,1249
250,2749,1250
251,2748,1251
252,2747,1252
253,2746,1253
254,2745,1254
255,2744,1255
256,2743,1256
257,2742,1257
258,2741,1258
259,2740,1259
260,2739,1260
261,2738,1261
262,2737,1262
263,2736,1263
264,2735,1264
265,2734,1265
266,2733,1266
267,2732,1267
268,2731,1268
269,2730,1269
270,2729,1270
271,2728,1271
272,2727,1272
273,2726,1273
274,2725,1274
275,2724,1275
276,2723,1276
277,2722,1277
278,2721,1278
279,2720,1279
280,2719,1280
281,2718,1281
282,2717,1282
283,2716,1283
284,2715,1284
285,2714,1285
286,2713,1286
287,2712,1287
288,2711,1288
289,2710,1289
290,2709,1290
291,2708,1291
292,2707,1292
293,2706,1293
294,2705,1294
295,2704,1295
296,2703,1296
297,2702,1297
298,2701,1298
299,2700,1299
300,2699,1300
301,2698,1301
302,2697,1302
303,2696,1303
304,2695,1304
305,2694,1305
306,2693,1306
307,2692,1307
308,2691,1308
309,2690,1309
310,2689,1310
311,2688,1311
312,2687,1312
313,2686,1313
314,2685,1314
315,2684,1315
316,2683,1316
317,2682,1317
318,2681,1318
319,2680,1319
320,2679,1320
321,2678,1321
322,2677,1322
323,2676,1323
324,2675,1324
325,2674,1325
326,2673,1326
327,2672,1327
328,2671,1328
329,2670,1329
330,2669,1330
331,2668,1331
332,2667,1332
333,2666,1333
334,2665,1334
335,2664,1335
336,2663,1336
337,2662,1337
338,2661,1338
339,2660,1339
340,2659,1340
341,2658,1341
342,2657,1342
343,2656,1343
344,2655,1344
345,2654,1345
346,2653,1346
347,2652,1347
348,2651,1348
349,2650,1349
350,2649,1350
351,2648,1351
352,2647,1352
353,2646,1353
354,2645,1354
355,2644,1355
356,2643,1356
357,2642,1357
358,2641,1358
359,2640,1359
360,2639,1360
361,2638,1361
362,2637,1362
363,2636,1363
364,2635,1364
365,2634,1365
366,2633,1366
367,2632,1367
368,2631,1368
369,2630,1369
370,2629,1370
371,2628,1371
372,2627,1372
373,2626,1373
374,2625,1374
375,2624,1375
376,2623,1376
377,2622,1377
378,2621,1378
379,2620,1379
380,2619,1380
381,2618,1381
382,2617,1382
383,2616,1383
384,2615,1384
385,2614,1385
386,2613,1386
387,2612,1387
388,2611,1388
389,2610,1389
390,2609,1390
391,2608,1391
392,2607,1392
393,2606,1393
394,2605,1394
395,2604,1395
396,2603,1396
397,2602,1397
398,2601,1398
399,2600,1399
400,2599,1400
401,2598,1401
402,2597,1402
403,2596,1403
404,2595,1404
405,2594,1405
406,2593,1406
407,2592,1407
408,2591,1408
409,2590,1409
410,2589,1410
411,2588,1411
412,2587,1412
413,2586,1413
414,2585,1414
415,2584,1415
416,2583,1416
417,2582,1417
418,2581,1418
419,2580,1419
420,2579,1420
421,2578,1421
422,2577,1422
423,2576,1423
424,2575,1424
425,2574,1425
426,2573,1426
427,2572,1427
428,2571,1428
429,2570,1429
430,2569,1430
431,2568,1431
432,2567,1432
433,2566,1433
434,2565,1434
435,2564,1435
436,2563,1436
437,2562,1437
438,2561,1438
439,2560,1439
440,2559,1440
441,2558,1441
442,2557,1442
443,2556,1443
444,2555,1444
445,2554,1445
446,2553,1446
447,2552,1447
448,2551,1448
449,2550,1449
450,2549,1450
451,2548,1451
452,2547,1452
453,2546,1453
454,2545,1454
455,2544,1455
456,2543,1456
457,2542,1457
458,2541,1458
459,2540,1459
460,2539,1460
461,2538,1461
462,2537,1462
463,2536,1463
464,2535,1464
465,2534,1465
466,2533,1466
467,2532,1467
468,2531,1468
469,2530,1469
470,2529,1470
471,2528,1471
472,2527,1472
473,2526,1473
474,2525,1474
475,2524,1475
476,2523,1476
477,2522,1477
478,2521,1478
479,2520,1479
480,2519,1480
481,2518,1481
482,2517,1482
483,2516,1483
484,2515,1484
485,2514,1485
486,2513,1486
487,2512,1487
488,2511,1488
489,2510,1489
490,2509,1490
491,2508,1491
492,2507,1492
493,2506,1493
494,2505,1494
495,2504,1495
496,2503,1496
497,2502,1497
498,2501,1498
499,2500,1499
500,2499,1500
501,2498,1501
502,2497,1502
503,2496,1503
504,2495,1504
505,2494,1505
506,2493,1506
507,2492,1507
508,2491,1508
509,2490,1509
510,2489,1510
511,2488,1511
512,2487,1512
513,2486,1513
514,2485,1514
515,2484,1515
516,2483,1516
517,2482,1517
518,2481,1518
519,2480,1519
520,2479,1520
521,2478,1521
522,2477,1522
523,2476,1523
524,2475,1524
525,2474,1525
526,2473,1526
527,2472,1527
528,2471,1528
529,2470,1529
530,2469,1530
531,2468,1531
532,2467,1532
