Analysis data for 3-way_merge algorithm on random data for n = 2000
# of comparisons: 18349, regression equation:  y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %,execution time: 0.020995 s
# of exchanges: 13113, regression equation:  y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %
count,presorted values,postsorted values
0,2079,1008
1,1277,1011
2,5163,1015
3,2192,1016
4,8019,1017
5,5309,1023
6,8439,1025
7,9613,1044
8,1377,1049
9,5862,1065
10,3473,1066
11,11535,1071
12,8385,1072
13,9290,1076
14,4594,1077
15,4877,1078
16,7001,1079
17,1380,1080
18,7563,1081
19,9464,1083
20,6070,1085
21,1897,1087
22,5806,1111
23,9293,1113
24,8711,1119
25,1071,1121
26,5065,1123
27,3232,1126
28,2049,1127
29,8536,1128
30,9261,1137
31,4483,1139
32,1948,1143
33,6481,1146
34,2673,1152
35,8484,1153
36,7065,1154
37,2792,1155
38,3389,1157
39,5051,1160
40,3041,1161
41,4823,1166
42,7105,1171
43,2288,1180
44,6557,1181
45,9271,1185
46,8234,1186
47,2373,1193
48,4353,1205
49,6623,1206
50,3310,1209
51,6003,1211
52,6654,1216
53,1015,1240
54,9716,1244
55,8012,1250
56,1704,1258
57,9541,1262
58,7969,1269
59,4978,1277
60,6798,1281
61,8643,1284
62,6583,1289
63,3793,1291
64,1629,1296
65,5146,1300
66,4662,1303
67,8787,1304
68,5561,1314
69,9954,1322
70,7365,1324
71,8144,1327
72,7344,1328
73,6920,1331
74,4023,1339
75,7918,1349
76,7049,1353
77,2735,1357
78,3485,1361
79,2011,1367
80,8860,1368
81,2101,1374
82,3820,1376
83,9331,1377
84,2683,1378
85,7064,1380
86,8881,1386
87,6463,1389
88,7516,1392
89,2168,1393
90,1981,1396
91,7115,1397
92,1422,1398
93,6778,1403
94,8748,1404
95,3450,1408
96,3830,1410
97,5099,1412
98,8688,1414
99,6537,1417
100,6310,1420
101,2068,1422
102,2619,1434
103,9988,1435
104,5846,1436
105,6809,1437
106,9479,1440
107,4133,1441
108,9012,1441
109,8722,1445
110,3649,1448
111,5127,1456
112,1403,1459
113,4960,1468
114,4345,1472
115,2500,1488
116,3177,1496
117,5816,1510
118,9797,1517
119,4262,1522
120,2265,1526
121,6708,1530
122,3416,1535
123,4733,1549
124,8137,1558
125,1296,1561
126,7424,1562
127,5850,1570
128,1281,1571
129,8028,1572
130,4364,1576
131,2616,1579
132,8574,1585
133,5205,1585
134,7626,1589
135,1269,1592
136,9602,1595
137,4350,1597
138,3067,1598
139,4994,1601
140,4370,1604
141,6978,1626
142,2186,1627
143,3056,1629
144,5139,1631
145,8926,1638
146,2132,1641
147,7854,1641
148,4985,1654
149,7314,1657
150,8299,1658
151,9637,1659
152,8865,1663
153,3548,1672
154,9046,1675
155,1732,1680
156,5512,1689
157,1767,1690
158,1083,1693
159,8757,1695
160,9879,1704
161,5871,1709
162,9292,1730
163,9405,1732
164,8514,1743
165,1209,1744
166,3625,1747
167,3420,1749
168,1840,1755
169,7771,1760
170,8067,1767
171,4210,1769
172,6715,1771
173,3776,1778
174,6677,1799
175,9411,1803
176,3128,1817
177,8832,1818
178,9344,1820
179,3445,1823
180,1589,1829
181,9628,1832
182,7897,1840
183,9787,1843
184,1314,1856
185,9491,1861
186,2375,1862
187,8731,1866
188,1910,1878
189,3234,1888
190,5060,1896
191,2355,1897
192,1065,1910
193,9000,1915
194,2210,1916
195,8367,1917
196,6493,1919
197,8080,1921
198,7454,1922
199,3203,1924
200,6325,1933
201,3163,1948
202,8885,1949
203,4055,1957
204,3750,1961
205,5442,1978
206,4124,1981
207,3327,1983
208,7995,1986
209,6662,1988
210,3096,1989
211,4230,1993
212,3186,1998
213,6156,1999
214,6188,2001
215,1517,2002
216,3040,2003
217,8186,2004
218,1392,2011
219,4019,2016
220,2573,2017
221,3791,2019
222,9779,2021
223,8275,2027
224,8038,2028
225,7189,2029
226,1139,2030
227,3522,2034
228,2307,2035
229,1258,2040
230,9834,2049
231,5382,2066
232,8821,2068
233,2869,2071
234,6157,2073
235,8956,2077
236,6594,2079
237,2154,2080
238,3893,2081
239,1123,2084
240,7896,2086
241,3677,2091
242,9078,2095
243,5541,2098
244,4288,2099
245,6084,2101
246,4509,2113
247,8977,2114
248,6947,2119
249,7910,2121
250,3454,2127
