Summary of all 105 analyzed sorting runs
#,data_type,n,algorithm,comparisons,exchanges,comparison trajectory equation,exchange trajectory equation,time
1,sorted	,50,quicksort,0,49,could not calculate regression		, y = 1.0 (x) ^ 0.9999 w/ correlation 100.0 %,execution time: 0.002038 s
2,sorted	,500,quicksort,0,499,could not calculate regression		, y = 1.0 (x) ^ 0.9999 w/ correlation 100.0 %,execution time: 0.044417 s
3,sorted	,1000,quicksort,0,999,could not calculate regression		, y = 1.0 (x) ^ 0.9999 w/ correlation 100.0 %,execution time: 0.157924 s
4,sorted	,1500,quicksort,0,1499,could not calculate regression		, y = 1.0 (x) ^ 0.9999 w/ correlation 100.0 %,execution time: 0.225490 s
5,sorted	,2000,quicksort,0,1999,could not calculate regression		, y = 1.0 (x) ^ 0.9999 w/ correlation 100.0 %,execution time: 0.440016 s
6,sorted	,50,quicksort_rand,128,160, y = 1.0052 (x) ^ 1.2355 w/ correlation 100.0 %, y = 1.0052 (x) ^ 1.2509 w/ correlation 100.0 %,execution time: 0.001416 s
7,sorted	,500,quicksort_rand,1899,2221, y = 1.0052 (x) ^ 1.2355 w/ correlation 100.0 %, y = 1.0052 (x) ^ 1.2509 w/ correlation 100.0 %,execution time: 0.006615 s
8,sorted	,1000,quicksort_rand,5619,6242, y = 1.0052 (x) ^ 1.2355 w/ correlation 100.0 %, y = 1.0052 (x) ^ 1.2509 w/ correlation 100.0 %,execution time: 0.016193 s
9,sorted	,1500,quicksort_rand,7720,8649, y = 1.0052 (x) ^ 1.2355 w/ correlation 100.0 %, y = 1.0052 (x) ^ 1.2509 w/ correlation 100.0 %,execution time: 0.012560 s
10,sorted	,2000,quicksort_rand,12613,13879, y = 1.0052 (x) ^ 1.2355 w/ correlation 100.0 %, y = 1.0052 (x) ^ 1.2509 w/ correlation 100.0 %,execution time: 0.020045 s
11,sorted	,50,quicksort_mot,86,132, y = 1.001 (x) ^ 1.0957 w/ correlation 100.0 %, y = 1.0017 (x) ^ 1.1528 w/ correlation 100.0 %,execution time: 0.000530 s
12,sorted	,500,quicksort_mot,977,1470, y = 1.001 (x) ^ 1.0957 w/ correlation 100.0 %, y = 1.0017 (x) ^ 1.1528 w/ correlation 100.0 %,execution time: 0.021278 s
13,sorted	,1000,quicksort_mot,1975,2967, y = 1.001 (x) ^ 1.0957 w/ correlation 100.0 %, y = 1.0017 (x) ^ 1.1528 w/ correlation 100.0 %,execution time: 0.067041 s
14,sorted	,1500,quicksort_mot,2973,4463, y = 1.001 (x) ^ 1.0957 w/ correlation 100.0 %, y = 1.0017 (x) ^ 1.1528 w/ correlation 100.0 %,execution time: 0.078673 s
