Analysis data for heap_sort algorithm on random data for n = 1500
# of comparisons: 37642, regression equation:  y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %,execution time: 0.047933 s
# of exchanges: 31885, regression equation:  y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %
count,presorted values,postsorted values
0,2944,1001
1,6211,1002
2,2540,1004
3,6175,1004
4,4244,1006
5,8709,1008
6,2194,1008
7,4092,1014
8,8089,1017
9,6644,1018
10,3281,1025
11,4781,1033
12,3867,1037
13,8841,1042
14,3391,1043
15,2558,1045
16,5239,1046
17,2190,1053
18,3827,1056
19,6614,1057
20,4709,1059
21,6507,1078
22,4981,1091
23,7499,1098
24,7541,1112
25,5260,1115
26,7004,1118
27,3582,1139
28,7467,1150
29,4856,1158
30,6981,1159
31,2863,1164
32,5349,1181
33,1053,1184
34,8093,1186
35,8186,1198
36,3961,1205
37,6615,1210
38,3871,1223
39,5584,1224
40,8697,1232
41,5394,1240
42,5858,1241
43,1018,1245
44,4416,1249
45,7663,1256
46,8710,1259
47,2833,1262
48,2150,1267
49,5366,1274
50,6114,1275
51,6061,1280
52,9232,1293
53,6964,1302
54,9500,1311
55,6874,1324
56,7706,1325
57,7067,1326
58,2102,1329
59,3575,1330
60,6164,1331
61,4721,1339
62,6001,1349
63,5923,1352
64,7020,1372
65,6252,1375
66,7868,1378
67,5171,1388
68,8003,1389
69,8525,1393
70,2769,1401
71,9836,1404
72,6908,1410
73,9771,1412
74,5985,1416
75,1816,1418
76,7493,1420
77,4767,1422
78,4585,1429
79,9746,1444
80,7167,1453
81,8751,1459
82,2276,1466
83,1947,1483
84,3102,1484
85,2407,1486
86,6760,1489
87,4304,1497
88,2389,1501
89,7349,1502
90,8200,1507
91,3091,1512
92,7098,1518
93,8099,1521
94,9010,1539
95,6688,1543
96,1326,1561
97,2070,1565
98,3988,1569
99,3243,1572
100,1518,1573
101,2175,1577
102,3483,1591
103,7479,1592
104,1008,1604
105,9312,1611
106,4561,1622
107,6959,1625
108,1325,1637
109,4390,1643
110,1637,1644
111,9684,1659
112,2113,1667
113,1767,1668
114,5877,1673
115,2391,1680
116,5211,1687
117,3897,1695
118,5174,1706
119,4083,1708
120,6290,1710
121,2188,1711
122,4036,1712
123,7931,1716
124,8612,1718
125,2359,1720
126,4109,1725
127,7874,1726
128,8982,1727
129,8415,1732
130,7986,1733
131,5203,1734
132,4861,1740
133,1014,1747
134,4939,1764
135,1330,1767
136,4070,1769
137,4663,1771
138,6516,1772
139,3172,1775
140,3740,1779
141,7057,1794
142,5545,1813
143,9313,1815
144,5219,1816
145,5632,1817
146,4625,1823
147,9589,1832
148,3796,1832
149,1043,1839
150,3072,1841
151,2906,1842
152,6671,1852
153,4545,1855
154,5578,1872
155,5406,1886
156,1764,1898
157,5763,1899
158,4393,1901
159,7138,1908
160,4690,1913
161,8271,1919
162,9791,1921
163,9726,1926
164,3904,1941
165,6843,1947
166,1775,1976
167,9503,1981
168,2367,1984
169,3469,1986
170,1412,1996
171,1794,1998
172,1046,2007
173,4106,2014
174,4197,2036
175,9696,2037
176,1324,2040
177,5917,2043
178,7841,2054
179,6141,2070
180,8895,2072
181,9084,2082
182,2325,2097
183,1706,2098
184,4581,2098
185,9013,2102
186,5249,2109
187,9580,2113
188,8610,2122
189,6790,2123
190,5448,2124
191,4437,2131
192,9372,2136
193,8948,2138
194,2911,2146
195,5335,2150
196,1410,2153
197,4885,2174
198,3717,2175
199,9546,2176
200,6994,2186
201,1659,2187
202,6803,2188
203,2036,2188
204,7958,2190
205,1981,2192
206,7139,2194
207,9049,2197
208,2696,2198
209,7653,2224
210,3155,2226
211,6271,2230
212,7944,2239
213,4353,2241
214,4283,2242
215,5673,2244
216,9578,2265
217,8071,2271
218,7238,2275
219,3171,2276
220,5805,2280
221,6881,2283
222,7009,2283
223,1592,2289
224,4303,2295
225,4817,2297
226,1711,2320
227,9343,2325
228,4546,2326
229,3485,2329
230,9270,2331
231,1158,2338
232,2681,2339
233,6694,2343
234,2593,2345
235,2098,2354
236,5922,2357
237,7030,2359
238,5512,2362
239,8342,2367
240,4525,2370
241,4903,2383
242,6395,2386
243,5598,2389
244,4182,2391
245,1941,2395
246,4226,2398
247,1401,2401
248,6048,2402
249,7325,2407
250,3120,2421
251,3638,2427
252,7294,2434
253,8091,2441
254,9872,2447
255,2702,2455
256,2122,2461
257,7626,2462
258,4786,2464
259,7625,2465
260,8584,2474
261,1164,2482
262,9122,2500
263,1453,2505
264,2386,2509
265,4591,2516
266,7286,2518
267,9090,2521
268,1184,2524
269,6937,2540
270,1841,2545
271,1720,2558
272,2657,2587
273,9204,2593
274,7728,2597
275,8993,2603
276,9756,2606
277,5231,2609
278,4389,2615
279,4344,2625
280,8660,2628
281,4394,2633
282,5604,2646
283,1561,2649
284,9137,2655
285,3505,2657
286,9305,2661
287,8378,2663
288,7316,2669
289,7909,2674
290,5535,2676
291,1091,2679
292,2916,2681
293,9538,2687
294,8730,2693
295,3878,2696
296,1898,2700
297,3393,2702
298,3727,2703
299,4986,2709
300,4090,2712
301,6003,2729
302,1591,2734
303,9196,2736
304,1727,2740
305,6667,2741
306,8661,2742
307,7994,2742
308,1404,2754
309,1497,2761
310,3942,2765
311,5542,2769
312,6677,2789
313,8209,2798
314,5557,2801
315,7446,2803
316,4296,2833
317,5738,2849
318,4902,2863
319,1573,2872
320,3158,2883
321,4936,2889
322,7332,2895
323,6996,2899
324,1331,2901
325,3142,2906
326,7036,2907
327,7547,2910
328,3383,2911
329,9188,2916
330,7782,2917
331,3373,2932
332,6989,2944
333,5890,2949
334,5266,2949
335,2421,2955
336,8542,2976
337,1198,2992
338,4733,3024
339,6821,3027
340,2516,3045
341,9623,3048
342,7357,3061
343,2798,3065
344,1375,3067
345,5942,3072
346,4762,3075
347,5445,3078
348,5048,3091
349,9664,3092
350,3419,3094
351,2136,3096
352,2687,3101
353,4725,3102
354,4050,3104
355,3833,3108
356,6458,3120
357,8145,3124
358,4396,3134
359,1444,3138
360,7587,3140
361,1293,3142
362,1919,3143
363,9921,3144
364,7054,3152
365,6470,3155
366,9873,3158
367,8825,3169
368,3809,3171
369,1680,3172
370,3795,3181
371,5481,3186
372,4062,3190
373,7432,3192
374,8621,3194
375,2054,3206
376,7643,3208
377,5924,3211
378,6324,3234
379,3989,3243
380,1459,3256
381,5676,3265
382,1017,3272
383,4056,3276
384,1926,3281
385,5887,3285
386,1732,3294
387,4597,3306
388,3762,3319
389,7386,3320
390,7773,3349
391,2625,3373
392,6147,3383
393,8386,3391
394,1908,3393
395,7417,3404
396,7906,3408
397,8458,3411
398,4994,3419
399,5435,3423
400,3474,3428
401,5835,3430
402,3445,3435
403,3588,3445
404,7517,3457
405,7753,3469
406,2901,3474
407,6947,3477
408,5938,3479
409,2712,3483
410,2343,3485
411,5374,3488
412,5169,3501
413,6948,3505
414,2441,3512
415,3186,3525
416,8037,3541
417,1832,3542
418,3430,3550
419,9940,3553
420,7537,3563
421,1372,3569
422,9265,3575
423,2917,3582
424,4385,3586
425,4571,3588
426,1667,3611
427,9786,3625
428,2518,3628
429,4486,3628
430,8939,3630
431,7281,3633
432,2992,3637
433,5603,3638
434,4670,3645
435,5949,3646
436,5740,3662
437,9647,3672
438,9059,3696
439,2661,3706
440,7309,3707
441,5657,3717
442,8646,3719
443,9650,3727
444,4146,3740
445,4133,3743
446,9427,3748
447,7581,3750
448,6716,3753
449,9040,3756
450,5478,3760
451,4333,3762
452,1210,3768
453,7297,3771
454,2447,3784
455,4748,3785
456,8130,3794
457,8642,3795
458,4395,3796
459,6769,3800
460,5972,3809
461,7255,3811
462,7266,3821
463,5950,3822
464,8190,3827
465,8018,3828
466,6530,3833
467,2482,3850
468,5766,3851
469,4980,3867
470,4965,3871
471,5368,3871
472,2615,3872
473,5060,3878
474,9764,3883
475,6617,3892
476,7523,3897
477,7394,3904
478,1078,3906
479,2500,3920
480,1352,3924
481,6549,3929
482,8329,3935
483,3630,3939
484,1507,3942
485,3920,3944
486,5729,3947
487,5690,3948
488,4340,3949
489,8008,3958
490,1042,3961
491,5411,3969
492,1256,3982
493,7451,3984
494,7007,3988
495,9202,3989
496,8876,3998
497,8547,4000
498,6060,4014
499,4381,4022
500,9973,4036
501,1901,4050
502,3892,4056
503,3101,4062
504,7769,4066
505,9971,4070
506,8920,4076
507,8681,4083
508,9821,4086
509,1622,4090
510,6871,4092
511,6029,4096
512,1710,4106
513,6398,4107
514,3045,4109
515,6849,4116
516,5546,4117
517,9990,4120
518,1205,4128
519,8033,4133
520,4341,4137
521,5330,4140
522,4657,4146
523,8242,4155
524,3457,4162
525,9293,4166
526,6488,4182
527,4257,4187
528,9331,4196
529,6710,4197
530,7535,4219
531,4579,4225
532,3075,4226
533,5681,4229
534,8280,4234
535,5071,4235
536,4400,4239
537,6941,4244
538,1057,4249
539,8614,4257
540,3586,4263
541,3108,4283
542,8880,4294
543,4716,4296
544,5276,4297
545,8166,4300
546,6356,4303
547,2949,4304
548,3143,4333
549,5967,4337
550,4868,4338
551,4419,4340
552,6506,4341
553,8679,4342
554,3625,4344
555,5453,4353
556,7097,4356
557,4162,4370
558,8499,4376
559,3550,4381
560,8346,4385
561,3750,4388
562,9315,4389
563,3637,4390
564,7539,4393
565,2976,4393
566,2729,4394
567,9759,4395
568,6425,4396
569,1543,4400
570,3208,4416
571,7763,4419
572,9077,4422
573,9736,4432
574,2505,4437
575,8801,4440
576,8179,4442
577,8979,4453
578,5479,4467
579,7185,4474
580,4155,4478
581,2949,4481
582,1329,4486
583,9914,4492
584,9346,4498
585,5966,4504
586,8470,4518
587,5421,4519
588,9908,4525
589,1245,4526
590,5225,4528
591,4914,4529
592,5626,4537
593,7458,4538
594,3645,4543
595,1998,4545
596,3628,4546
597,4453,4554
598,5015,4561
599,9597,4571
600,7776,4579
601,5849,4580
602,6090,4581
603,7572,4585
604,1734,4589
605,3134,4591
606,4128,4592
607,3477,4595
608,3190,4597
609,4705,4609
610,1569,4613
611,2646,4616
612,8194,4625
613,1718,4633
614,9542,4647
615,6456,4648
616,8662,4652
617,8147,4654
618,8150,4657
619,8136,4663
620,6030,4670
621,6322,4681
622,6337,4684
623,9525,4686
624,3501,4690
625,9634,4702
