Analysis data for heap_sort algorithm on reverse_sorted data for n = 50
# of comparisons: 430, regression equation:  y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %,execution time: 0.000944 s
# of exchanges: 373, regression equation:  y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %
count,presorted values,postsorted values
0,50,1
1,49,2
2,48,3
3,47,4
4,46,5
5,45,6
6,44,7
7,43,8
8,42,9
9,41,10
10,40,11
11,39,12
12,38,13
13,37,14
14,36,15
15,35,16
16,34,17
17,33,18
18,32,19
19,31,20
20,30,21
21,29,22
22,28,23
23,27,24
24,26,25
25,25,26
26,24,27
27,23,28
28,22,29
29,21,30
30,20,31
31,19,32
32,18,33
33,17,34
34,16,35
35,15,36
36,14,37
37,13,38
38,12,39
39,11,40
40,10,41
41,9,42
42,8,43
43,7,44
44,6,45
45,5,46
46,4,47
47,3,48
48,2,49
49,1,50
