Analysis data for natural_merge algorithm on reverse_sorted data for n = 1500
# of comparisons: 17492, regression equation:  y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %,execution time: 0.010225 s
# of exchanges: 15992, regression equation:  y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %
count,presorted values,postsorted values
0,2499,1220
1,2498,1221
2,2497,1222
3,2496,1223
4,2495,1224
5,2494,1225
6,2493,1226
7,2492,1227
8,2491,1228
9,2490,1229
10,2489,1230
11,2488,1231
12,2487,1232
13,2486,1233
14,2485,1234
15,2484,1235
16,2483,1236
17,2482,1237
18,2481,1238
19,2480,1239
20,2479,1240
21,2478,1241
22,2477,1242
23,2476,1243
24,2475,1244
25,2474,1245
26,2473,1246
27,2472,1247
28,2471,1248
29,2470,1249
30,2469,1250
31,2468,1251
32,2467,1252
33,2466,1253
34,2465,1254
35,2464,1255
36,2463,1256
37,2462,1257
38,2461,1258
39,2460,1259
40,2459,1260
41,2458,1261
42,2457,1262
43,2456,1263
44,2455,1264
45,2454,1265
46,2453,1266
47,2452,1267
48,2451,1268
49,2450,1269
50,2449,1270
51,2448,1271
52,2447,1272
53,2446,1273
54,2445,1274
55,2444,1275
56,2443,1276
57,2442,1277
58,2441,1278
59,2440,1279
60,2439,1280
61,2438,1281
62,2437,1282
63,2436,1283
64,2435,1284
65,2434,1285
66,2433,1286
67,2432,1287
68,2431,1288
69,2430,1289
70,2429,1290
71,2428,1291
72,2427,1292
73,2426,1293
74,2425,1294
75,2424,1295
76,2423,1296
77,2422,1297
78,2421,1298
79,2420,1299
80,2419,1300
81,2418,1301
82,2417,1302
83,2416,1303
84,2415,1304
85,2414,1305
86,2413,1306
87,2412,1307
88,2411,1308
89,2410,1309
90,2409,1310
91,2408,1311
92,2407,1312
93,2406,1313
94,2405,1314
95,2404,1315
96,2403,1316
97,2402,1317
98,2401,1318
99,2400,1319
100,2399,1320
101,2398,1321
102,2397,1322
103,2396,1323
104,2395,1324
105,2394,1325
106,2393,1326
107,2392,1327
108,2391,1328
109,2390,1329
110,2389,1330
111,2388,1331
112,2387,1332
113,2386,1333
114,2385,1334
115,2384,1335
116,2383,1336
117,2382,1337
118,2381,1338
119,2380,1339
120,2379,1340
121,2378,1341
122,2377,1342
123,2376,1343
124,2375,1344
125,2374,1345
126,2373,1346
127,2372,1347
128,2371,1348
129,2370,1349
130,2369,1350
131,2368,1351
132,2367,1352
133,2366,1353
134,2365,1354
135,2364,1355
136,2363,1356
137,2362,1357
138,2361,1358
139,2360,1359
140,2359,1360
141,2358,1361
142,2357,1362
143,2356,1363
144,2355,1364
145,2354,1365
146,2353,1366
147,2352,1367
148,2351,1368
149,2350,1369
150,2349,1370
151,2348,1371
152,2347,1372
153,2346,1373
154,2345,1374
155,2344,1375
156,2343,1376
157,2342,1377
158,2341,1378
159,2340,1379
160,2339,1380
161,2338,1381
162,2337,1382
163,2336,1383
164,2335,1384
165,2334,1385
166,2333,1386
167,2332,1387
168,2331,1388
169,2330,1389
170,2329,1390
171,2328,1391
172,2327,1392
173,2326,1393
174,2325,1394
175,2324,1395
176,2323,1396
177,2322,1397
178,2321,1398
179,2320,1399
180,2319,1400
181,2318,1401
182,2317,1402
183,2316,1403
184,2315,1404
185,2314,1405
186,2313,1406
187,2312,1407
188,2311,1408
189,2310,1409
190,2309,1410
191,2308,1411
192,2307,1412
193,2306,1413
194,2305,1414
195,2304,1415
196,2303,1416
197,2302,1417
198,2301,1418
199,2300,1419
200,2299,1420
201,2298,1421
202,2297,1422
203,2296,1423
204,2295,1424
205,2294,1425
206,2293,1426
207,2292,1427
208,2291,1428
209,2290,1429
210,2289,1430
211,2288,1431
212,2287,1432
213,2286,1433
214,2285,1434
215,2284,1435
216,2283,1436
217,2282,1437
218,2281,1438
219,2280,1439
220,2279,1440
221,2278,1441
222,2277,1442
223,2276,1443
224,2275,1444
225,2274,1445
226,2273,1446
227,2272,1447
228,2271,1448
229,2270,1449
230,2269,1450
231,2268,1451
232,2267,1452
233,2266,1453
234,2265,1454
235,2264,1455
236,2263,1456
237,2262,1457
238,2261,1458
239,2260,1459
240,2259,1460
241,2258,1461
242,2257,1462
