Analysis data for natural_merge algorithm on sorted data for n = 500
# of comparisons: 1, regression equation: could not calculate regression		,execution time: 0.000385 s
# of exchanges: 0, regression equation: could not calculate regression		
count,presorted values,postsorted values
0,1000,1000
1,1001,1001
2,1002,1002
3,1003,1003
4,1004,1004
5,1005,1005
6,1006,1006
7,1007,1007
8,1008,1008
9,1009,1009
10,1010,1010
11,1011,1011
12,1012,1012
13,1013,1013
14,1014,1014
15,1015,1015
16,1016,1016
17,1017,1017
18,1018,1018
19,1019,1019
20,1020,1020
21,1021,1021
22,1022,1022
23,1023,1023
24,1024,1024
25,1025,1025
26,1026,1026
27,1027,1027
28,1028,1028
29,1029,1029
30,1030,1030
31,1031,1031
32,1032,1032
33,1033,1033
34,1034,1034
35,1035,1035
36,1036,1036
37,1037,1037
38,1038,1038
39,1039,1039
40,1040,1040
41,1041,1041
42,1042,1042
43,1043,1043
44,1044,1044
45,1045,1045
46,1046,1046
47,1047,1047
48,1048,1048
49,1049,1049
50,1050,1050
51,1051,1051
52,1052,1052
53,1053,1053
54,1054,1054
55,1055,1055
56,1056,1056
57,1057,1057
58,1058,1058
59,1059,1059
60,1060,1060
61,1061,1061
62,1062,1062
63,1063,1063
64,1064,1064
65,1065,1065
66,1066,1066
67,1067,1067
68,1068,1068
69,1069,1069
70,1070,1070
71,1071,1071
72,1072,1072
73,1073,1073
74,1074,1074
75,1075,1075
76,1076,1076
77,1077,1077
78,1078,1078
79,1079,1079
80,1080,1080
81,1081,1081
82,1082,1082
83,1083,1083
84,1084,1084
85,1085,1085
86,1086,1086
87,1087,1087
88,1088,1088
89,1089,1089
90,1090,1090
91,1091,1091
92,1092,1092
93,1093,1093
94,1094,1094
95,1095,1095
96,1096,1096
97,1097,1097
98,1098,1098
99,1099,1099
100,1100,1100
101,1101,1101
102,1102,1102
103,1103,1103
104,1104,1104
105,1105,1105
106,1106,1106
107,1107,1107
108,1108,1108
109,1109,1109
110,1110,1110
111,1111,1111
112,1112,1112
113,1113,1113
114,1114,1114
115,1115,1115
116,1116,1116
117,1117,1117
118,1118,1118
119,1119,1119
120,1120,1120
121,1121,1121
122,1122,1122
123,1123,1123
124,1124,1124
125,1125,1125
126,1126,1126
127,1127,1127
128,1128,1128
129,1129,1129
130,1130,1130
131,1131,1131
132,1132,1132
133,1133,1133
134,1134,1134
135,1135,1135
136,1136,1136
137,1137,1137
