Analysis data for quicksort algorithm on random data for n = 500
# of comparisons: 2096, regression equation:  y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %,execution time: 0.006480 s
# of exchanges: 2426, regression equation:  y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %
count,presorted values,postsorted values
0,3337,1016
1,5734,1020
2,9102,1043
3,8772,1046
4,9677,1061
5,3219,1065
6,6293,1078
7,7072,1094
8,5298,1105
9,8974,1117
10,4805,1119
11,2068,1126
12,8423,1153
13,9043,1160
14,7033,1192
15,4993,1212
16,6148,1221
17,2784,1223
18,9688,1253
19,2287,1255
20,3163,1257
21,8781,1269
22,7974,1299
23,7618,1314
24,1269,1320
25,6969,1323
26,3364,1345
27,4118,1358
28,5080,1364
29,9202,1377
30,8258,1379
31,6093,1393
32,5357,1407
33,6551,1421
34,5232,1461
35,2364,1471
36,6213,1488
37,4264,1494
38,4791,1497
39,6091,1509
40,7329,1513
41,2318,1516
42,7280,1518
43,3242,1532
44,3812,1556
45,5106,1560
46,8474,1568
47,6975,1569
48,1393,1661
49,7769,1668
50,2230,1674
51,7207,1704
52,6811,1767
53,8180,1812
54,9407,1832
55,9201,1847
56,3128,1891
57,1471,1949
58,9125,1959
59,9628,1970
60,5950,1998
61,3260,2068
62,3229,2069
63,3477,2073
64,1556,2078
65,4472,2084
66,2715,2094
67,8292,2102
68,8680,2132
69,3354,2142
70,4927,2152
71,7305,2162
72,1812,2171
73,7335,2194
74,5524,2196
75,5015,2203
76,7135,2230
77,4110,2275
78,3361,2287
79,4916,2289
80,6917,2293
81,3405,2298
82,2094,2313
83,9535,2318
84,3012,2321
85,2698,2323
86,9722,2328
87,5033,2337
88,1094,2358
89,1407,2364
90,4648,2365
91,9710,2371
92,8842,2405
93,1379,2425
94,2142,2435
95,9575,2475
96,9829,2503
97,6608,2516
98,3809,2566
99,8155,2568
100,2313,2589
101,1949,2614
102,7831,2629
103,9567,2687
104,2084,2698
105,7077,2712
106,9686,2715
107,9398,2745
108,7872,2757
109,1497,2769
110,7721,2784
111,6484,2785
112,4468,2789
113,1253,2825
114,5150,2889
115,3093,2895
116,2629,2908
117,8129,2913
118,4234,2914
119,3860,3004
120,2425,3012
121,6838,3055
122,8823,3070
123,4816,3093
124,9080,3116
125,5141,3119
126,3055,3128
127,3420,3143
128,7928,3153
129,5849,3163
130,3654,3166
131,2895,3199
132,1532,3219
133,7158,3229
134,7004,3242
135,1119,3260
136,4704,3277
137,1043,3280
138,5770,3290
139,6244,3317
140,6069,3337
141,3951,3354
142,7134,3361
143,5544,3364
144,9147,3405
145,1314,3420
146,4254,3457
147,7185,3462
148,1568,3468
149,9867,3477
150,2475,3482
151,5567,3495
152,7372,3514
153,1998,3524
154,2078,3566
155,7101,3591
156,1494,3604
157,1345,3654
158,9021,3676
159,7778,3703
160,1160,3710
161,2289,3762
162,4433,3772
