Analysis data for quicksort algorithm on reverse_sorted data for n = 1000
# of comparisons: 250000, regression equation:  y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %,execution time: 0.315991 s
# of exchanges: 250999, regression equation:  y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %
count,presorted values,postsorted values
0,1999,1000
1,1998,1001
2,1997,1002
3,1996,1003
4,1995,1004
5,1994,1005
6,1993,1006
7,1992,1007
8,1991,1008
9,1990,1009
10,1989,1010
11,1988,1011
12,1987,1012
13,1986,1013
14,1985,1014
15,1984,1015
16,1983,1016
17,1982,1017
18,1981,1018
19,1980,1019
20,1979,1020
21,1978,1021
22,1977,1022
23,1976,1023
24,1975,1024
25,1974,1025
26,1973,1026
27,1972,1027
28,1971,1028
29,1970,1029
30,1969,1030
31,1968,1031
32,1967,1032
33,1966,1033
34,1965,1034
35,1964,1035
36,1963,1036
37,1962,1037
38,1961,1038
39,1960,1039
40,1959,1040
41,1958,1041
42,1957,1042
43,1956,1043
44,1955,1044
45,1954,1045
46,1953,1046
47,1952,1047
48,1951,1048
49,1950,1049
50,1949,1050
51,1948,1051
52,1947,1052
53,1946,1053
54,1945,1054
55,1944,1055
56,1943,1056
57,1942,1057
58,1941,1058
59,1940,1059
60,1939,1060
61,1938,1061
62,1937,1062
63,1936,1063
64,1935,1064
65,1934,1065
66,1933,1066
67,1932,1067
68,1931,1068
69,1930,1069
70,1929,1070
71,1928,1071
72,1927,1072
73,1926,1073
74,1925,1074
75,1924,1075
76,1923,1076
77,1922,1077
78,1921,1078
79,1920,1079
80,1919,1080
81,1918,1081
82,1917,1082
83,1916,1083
84,1915,1084
85,1914,1085
86,1913,1086
87,1912,1087
88,1911,1088
89,1910,1089
90,1909,1090
91,1908,1091
92,1907,1092
93,1906,1093
94,1905,1094
95,1904,1095
96,1903,1096
97,1902,1097
98,1901,1098
99,1900,1099
100,1899,1100
101,1898,1101
102,1897,1102
103,1896,1103
104,1895,1104
105,1894,1105
106,1893,1106
107,1892,1107
108,1891,1108
109,1890,1109
110,1889,1110
111,1888,1111
112,1887,1112
113,1886,1113
114,1885,1114
115,1884,1115
116,1883,1116
117,1882,1117
118,1881,1118
119,1880,1119
120,1879,1120
121,1878,1121
122,1877,1122
123,1876,1123
124,1875,1124
125,1874,1125
126,1873,1126
127,1872,1127
128,1871,1128
129,1870,1129
130,1869,1130
131,1868,1131
132,1867,1132
133,1866,1133
134,1865,1134
135,1864,1135
136,1863,1136
137,1862,1137
138,1861,1138
139,1860,1139
140,1859,1140
141,1858,1141
142,1857,1142
143,1856,1143
144,1855,1144
145,1854,1145
146,1853,1146
147,1852,1147
148,1851,1148
149,1850,1149
150,1849,1150
151,1848,1151
152,1847,1152
153,1846,1153
154,1845,1154
155,1844,1155
156,1843,1156
157,1842,1157
158,1841,1158
159,1840,1159
160,1839,1160
161,1838,1161
162,1837,1162
163,1836,1163
164,1835,1164
165,1834,1165
166,1833,1166
167,1832,1167
168,1831,1168
169,1830,1169
170,1829,1170
171,1828,1171
172,1827,1172
173,1826,1173
174,1825,1174
175,1824,1175
176,1823,1176
177,1822,1177
178,1821,1178
179,1820,1179
180,1819,1180
181,1818,1181
182,1817,1182
183,1816,1183
184,1815,1184
185,1814,1185
186,1813,1186
187,1812,1187
188,1811,1188
189,1810,1189
190,1809,1190
191,1808,1191
192,1807,1192
193,1806,1193
194,1805,1194
195,1804,1195
196,1803,1196
197,1802,1197
198,1801,1198
199,1800,1199
200,1799,1200
201,1798,1201
202,1797,1202
203,1796,1203
204,1795,1204
205,1794,1205
206,1793,1206
207,1792,1207
208,1791,1208
209,1790,1209
210,1789,1210
211,1788,1211
212,1787,1212
213,1786,1213
214,1785,1214
215,1784,1215
216,1783,1216
217,1782,1217
218,1781,1218
219,1780,1219
220,1779,1220
221,1778,1221
222,1777,1222
223,1776,1223
224,1775,1224
225,1774,1225
226,1773,1226
227,1772,1227
228,1771,1228
229,1770,1229
230,1769,1230
231,1768,1231
232,1767,1232
233,1766,1233
234,1765,1234
235,1764,1235
236,1763,1236
237,1762,1237
238,1761,1238
239,1760,1239
240,1759,1240
241,1758,1241
242,1757,1242
243,1756,1243
244,1755,1244
245,1754,1245
246,1753,1246
247,1752,1247
248,1751,1248
249,1750,1249
250,1749,1250
251,1748,1251
252,1747,1252
253,1746,1253
254,1745,1254
255,1744,1255
256,1743,1256
