Analysis data for quicksort_mot algorithm on reverse_sorted data for n = 500
# of comparisons: 20856, regression equation:  y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %,execution time: 0.022973 s
# of exchanges: 21340, regression equation:  y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %
count,presorted values,postsorted values
0,1499,1000
1,1498,1001
2,1497,1002
3,1496,1003
4,1495,1004
5,1494,1005
6,1493,1006
7,1492,1007
8,1491,1008
9,1490,1009
10,1489,1010
11,1488,1011
12,1487,1012
13,1486,1013
14,1485,1014
15,1484,1015
16,1483,1016
17,1482,1017
18,1481,1018
19,1480,1019
20,1479,1020
21,1478,1021
22,1477,1022
23,1476,1023
24,1475,1024
25,1474,1025
26,1473,1026
27,1472,1027
28,1471,1028
29,1470,1029
30,1469,1030
31,1468,1031
32,1467,1032
33,1466,1033
34,1465,1034
35,1464,1035
36,1463,1036
37,1462,1037
38,1461,1038
39,1460,1039
40,1459,1040
41,1458,1041
42,1457,1042
43,1456,1043
44,1455,1044
45,1454,1045
46,1453,1046
47,1452,1047
48,1451,1048
49,1450,1049
50,1449,1050
51,1448,1051
52,1447,1052
53,1446,1053
54,1445,1054
55,1444,1055
56,1443,1056
57,1442,1057
58,1441,1058
59,1440,1059
60,1439,1060
61,1438,1061
62,1437,1062
63,1436,1063
64,1435,1064
65,1434,1065
66,1433,1066
67,1432,1067
68,1431,1068
69,1430,1069
70,1429,1070
71,1428,1071
72,1427,1072
73,1426,1073
74,1425,1074
75,1424,1075
76,1423,1076
77,1422,1077
78,1421,1078
79,1420,1079
80,1419,1080
81,1418,1081
82,1417,1082
83,1416,1083
84,1415,1084
85,1414,1085
86,1413,1086
87,1412,1087
88,1411,1088
89,1410,1089
90,1409,1090
91,1408,1091
92,1407,1092
93,1406,1093
94,1405,1094
95,1404,1095
96,1403,1096
97,1402,1097
98,1401,1098
99,1400,1099
100,1399,1100
101,1398,1101
102,1397,1102
103,1396,1103
104,1395,1104
105,1394,1105
106,1393,1106
107,1392,1107
108,1391,1108
109,1390,1109
110,1389,1110
111,1388,1111
112,1387,1112
113,1386,1113
114,1385,1114
115,1384,1115
116,1383,1116
117,1382,1117
118,1381,1118
119,1380,1119
120,1379,1120
121,1378,1121
122,1377,1122
123,1376,1123
124,1375,1124
125,1374,1125
126,1373,1126
127,1372,1127
128,1371,1128
129,1370,1129
130,1369,1130
131,1368,1131
132,1367,1132
133,1366,1133
134,1365,1134
135,1364,1135
136,1363,1136
137,1362,1137
138,1361,1138
139,1360,1139
140,1359,1140
141,1358,1141
142,1357,1142
143,1356,1143
144,1355,1144
145,1354,1145
146,1353,1146
147,1352,1147
148,1351,1148
149,1350,1149
150,1349,1150
151,1348,1151
152,1347,1152
153,1346,1153
154,1345,1154
155,1344,1155
156,1343,1156
157,1342,1157
158,1341,1158
159,1340,1159
160,1339,1160
161,1338,1161
162,1337,1162
163,1336,1163
164,1335,1164
165,1334,1165
166,1333,1166
167,1332,1167
168,1331,1168
169,1330,1169
170,1329,1170
171,1328,1171
172,1327,1172
173,1326,1173
174,1325,1174
175,1324,1175
176,1323,1176
177,1322,1177
